,Prix
1521,36060
231,13550
232,17420
4,19660
605,47230
1516,19060
694,29370
1403,29100
293,15980
1095,30270
429,25660
890,9950
1400,26620
504,103100
417,29380
127,17260
940,28440
55,24820
711,27750
1553,33750
819,14500
1148,17380
185,20610
598,14260
981,23710
1240,27210
1197,16080
1362,14610
705,20550
1106,8420
748,10610
399,45850
439,23520
66,23080
699,22300
418,25320
438,58810
855,19510
751,21450
1560,26620
1527,18480
379,9500
752,31440
420,10800
1246,26400
119,28650
1557,26780
902,12390
391,15190
760,16610
575,17770
738,45010
1235,18000
714,21070
410,32950
902,35930
1051,17980
1166,39190
246,45490
989,23190
394,35420
336,19960
348,10010
362,19960
371,44130
1326,19120
493,20880
1381,41830
1582,26580
653,15580
641,16480
121,18270
47,20400
428,35400
359,47180
719,24590
99,24710
905,25410
1244,13880
1205,10910
1512,10420
790,15940
707,27420
1305,20100
19,16390
339,4950
1391,12190
554,20510
303,22580
1074,13420
90,19250
1530,29020
1040,25950
1133,31120
1303,28730
69,27240
1356,27120
175,42690
202,17080
1014,6810
1592,18430
1392,17240
262,23160
341,16270
190,18380
590,32810
330,15350
214,18370
460,49140
474,26610
411,18360
257,32750
867,17260
161,56560
888,29010
256,33880
197,36070
880,11180
47,50680
1291,41230
12,19540
1357,17820
766,25090
572,21830
1337,77950
733,12480
102,42800
942,12390
628,12980
1384,15040
295,34740
882,19170
1226,38940
223,24730
908,21510
754,24300
1424,45900
649,50650
1013,40900
285,22210
315,18740
148,25700
228,8160
1380,22450
533,41860
724,33280
1309,16340
483,35500
986,18430
145,34200
650,16440
1126,5230
856,23860
1384,52480
907,24810
1231,23890
169,37400
1010,12060
356,27390
1097,16690
231,23510
1160,15870
235,36580
1397,15580
1098,34450
27,28290
333,7130
953,28270
731,42480
388,30400
1319,81120
1042,27620
703,18070
815,24730
55,11640
1161,13890
552,25070
315,13670
1358,31440
549,32650
1026,46370
1142,10320
1181,12080
1056,27620
1094,18100
58,22300
1017,92770
1146,8040
801,40820
257,27280
174,31960
99,41350
164,30580
166,17240
44,11750
182,43430
332,29940
33,16370
398,18940
267,24970
1208,6660
806,39150
728,17710
1438,19500
1085,28870
723,15430
1485,3880
764,46920
1559,39080
480,14750
1368,15780
1349,25260
116,24840
512,47020
165,24150
665,14380
1503,6430
1087,12990
167,18250
48,34110
1081,13550
1369,36520
107,9970
1015,18790
1071,56760
1551,13730
604,26000
469,24400
892,18730
400,17490
63,23980
494,17210
1045,4180
1065,14910
