,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1368,CITROEN C1 (2E GENERATION),II 1.0 VTI 68 AIRSCAPE FEEL 5P,11110,59,2016,30/07/2016,requis,101 548 Km,Essence,mécanique,gris,5,4,8 mois,,SPOTICAR,non,4,4 CV,69 ch,1,95 g/kmA,3.6 l/100km,EURO5
1369,CITROEN JUMPY 3 FOURGON,III TAILLE XL BLUEHDI 145 S&S BVM6 CAF DRIVER,39200,76,2023,10/05/2023,non requis,28 Km,Diesel,mécanique,gris metal,4,6,12 mois,,,oui,1,7 CV,144 ch,2,196 g/kmE,7.4 l/100km,EURO6
1370,CITROEN JUMPY 3 FOURGON,III TAILLE XL BLUEHDI 145 S&S BVM6 CAF DRIVER,43640,76,2023,02/02/2023,non requis,12 Km,Diesel,mécanique,gris metal,4,6,12 mois,,,oui,1,7 CV,144 ch,2,196 g/kmE,7.4 l/100km,EURO6
1371,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S FEEL PACK BVM6,32950,78,2023,13/05/2023,non requis,4 159 Km,Diesel,mécanique,Brun Caramel (Nacré),5,5,24 mois,,SPOTICAR,non,1,6 CV,110 ch,2,114 g/kmB,4.3 l/100km,EURO6
1372,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S BVM6 FEEL,32170,78,2023,21/01/2024,non requis,10 153 Km,Diesel,mécanique,Noir,5,7,24 mois,,SPOTICAR,non,1,7 CV,130 ch,2,128 g/kmC,4.9 l/100km,EURO6
1373,CITROEN BERLINGO 2 MULTISPACE,II (3) 1.6 BLUEHDI 100 FEEL,15390,35,2016,10/06/2016,requis,127 880 Km,Diesel,mécanique,BRONZE,5,5,3 mois,,,non,2,5 CV,99 ch,2,113 g/kmB,3.9 l/100km,EURO6
1374,CITROEN JUMPY 3 FOURGON,III TAILLE XL BLUEHDI 120 S&S 340 NM CLUB BV6,20560,22,2021,30/08/2021,non requis,135 278 Km,Diesel,mécanique,blanc,4,3,6 mois,,,oui,1,7 CV,122 ch,2,192 g/kmE,,EURO6
1375,CITROEN C4 PICASSO 2,II 2.0 BLUEHDI 150 INTENSIVE BV6,14410,95,2015,03/09/2015,requis,75 508 Km,Diesel,mécanique,ROUGE,5,5,3 mois,,,non,,7 CV,150 ch,2,102 g/kmB,4.1 l/100km,EURO5
1376,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S SHINE BV6,21920,13,2022,04/10/2022,non requis,52 751 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,2,121 g/kmC,4.6 l/100km,EURO6
1377,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S C-SERIES BV6,29370,78,2023,16/01/2024,non requis,8 149 Km,Diesel,mécanique,Gris,5,5,24 mois,,SPOTICAR,oui,1,6 CV,110 ch,2,122 g/kmC,4.6 l/100km,EURO6
1378,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 130 S&S SHINE PACK EAT8,29400,22,2022,05/05/2022,non requis,31 286 Km,Diesel,automatique,platine,5,5,,en cours,,non,,7 CV,131 ch,2,120 g/kmB,4.5 l/100km,EURO6
1379,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6,24780,22,2023,29/12/2023,non requis,19 676 Km,Essence,mécanique,bleu,5,5,20 mois,,,non,,6 CV,110 ch,1,121 g/kmC,5.3 l/100km,EURO6
1380,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S SHINE BUSINESS EAT6,22320,77,2020,23/01/2021,non requis,39 861 Km,Essence,automatique,BEIGE,5,5,12 mois,,SPOTICAR,non,,6 CV,110 ch,1,114 g/kmB,5.7 l/100km,EURO6
1381,CITROEN C4 (3E GENERATION),III 1.2 PURETECH 130 S&S C-SERIES EAT8,37370,48,2023,05/10/2023,non requis,6 250 Km,Essence,automatique,Vert,5,5,24 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,131 g/kmC,5.8 l/100km,EURO6
1382,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S BVM6 SHINE,35550,78,2023,21/04/2023,non requis,12 231 Km,Diesel,mécanique,Gris,5,7,24 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,129 g/kmC,4.9 l/100km,EURO6
1383,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,19390,31,2023,26/06/2023,non requis,5 252 Km,Essence,mécanique,Gris,5,5,24 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.4 l/100km,EURO6
1384,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S C-SERIES BV6,25110,31,2023,09/02/2023,non requis,6 966 Km,Diesel,mécanique,Gris,5,5,24 mois,,SPOTICAR,oui,1,6 CV,110 ch,2,122 g/kmC,4.6 l/100km,EURO6
1385,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S 4CV FEEL 5P,12400,54,2022,25/05/2022,non requis,8 759 Km,Essence,mécanique,Blanc Oural - Toit Noir Caldéra,5,4,12 mois,en cours,SPOTICAR,oui,,4 CV,72 ch,1,109 g/kmB,4.8 l/100km,EURO6
1386,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S URBAN RIDE 5P,12090,54,2020,15/03/2020,non requis,20 606 Km,Essence,mécanique,Bleu Calvi (N),5,4,12 mois,,SPOTICAR,oui,,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
1387,CITROEN C3 (3E GENERATION),III 1.5 BLUEHDI 100 S&S GRAPHIC BV6,15610,54,2020,08/01/2021,non requis,14 780 Km,Diesel,mécanique,Gris Acier - Rouge Aden,5,5,12 mois,,SPOTICAR,non,,5 CV,102 ch,2,86 g/kmA,3.8 l/100km,EURO6
1388,CITROEN BERLINGO 2 MULTISPACE,II (3) 1.6 BLUEHDI 120 S&S XTR + BV6,19820,35,2017,16/03/2017,requis,115 546 Km,Diesel,mécanique,marron clair,5,5,6 mois,,,non,2,6 CV,120 ch,2,113 g/kmB,3.9 l/100km,EURO6
1389,CITROEN JUMPER 2,II 35 L1H2 HDI 130 CONFORT,17750,35,2016,17/11/2016,requis,136 958 Km,Diesel,mécanique,blanc,4,3,6 mois,,,oui,1,7 CV,131 ch,2,195 g/kmE,6.3 l/100km,EURO5
1390,CITROEN JUMPER 2,II (2) 4-35 L3H2 BLUEHDI 130 CONFORT BV6,29740,35,2018,20/08/2018,requis,61 836 Km,Diesel,mécanique,blanc,4,7,6 mois,,,oui,1,7 CV,131 ch,2,163 g/kmE,5.9 l/100km,EURO6
1391,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE,40240,78,2023,22/08/2023,non requis,8 256 Km,Diesel,automatique,Sable (nacré),5,7,24 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
1392,CITROEN C4 PICASSO 2,II 1.6 E-HDI 90 AIRDREAM BUSINESS ETG6,9150,77,2016,09/06/2016,requis,196 319 Km,Diesel,automatique,Gris Foncé Métal,5,5,6 mois,,,non,,5 CV,92 ch,2,98 g/kmA,3.8 l/100km,EURO5
1393,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S SHINE BV6,27550,78,2023,23/09/2023,non requis,12 179 Km,Diesel,mécanique,Gris,5,5,24 mois,,SPOTICAR,oui,1,6 CV,110 ch,2,113 g/kmB,,EURO6
1394,CITROEN C5 AIRCROSS,(2) 1.5 BLUEHDI 130 S&S SHINE EAT8,37960,69,2023,19/10/2023,non requis,8 749 Km,Diesel,automatique,Blanc,5,5,24 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,137 g/kmC,5.2 l/100km,EURO6
1395,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6,23800,69,2023,23/08/2023,non requis,7 799 Km,Essence,mécanique,Gris,5,5,24 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,121 g/kmC,5.5 l/100km,EURO6
1396,CITROEN C5 AIRCROSS,(2) 1.5 BLUEHDI 130 S&S SHINE PACK EAT8,47560,69,2023,26/06/2023,non requis,5 428 Km,Diesel,automatique,0MM00N6L,5,5,24 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,137 g/kmC,5.2 l/100km,EURO6
1397,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6,20970,78,2023,30/07/2023,non requis,12 894 Km,Essence,mécanique,Gris,5,5,24 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,121 g/kmC,5.3 l/100km,EURO6
1398,CITROEN C5 AIRCROSS,(2) 1.5 BLUEHDI 130 S&S SHINE EAT8,43500,69,2023,29/01/2024,non requis,5 989 Km,Diesel,automatique,Noir,5,5,24 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,136 g/kmC,5.2 l/100km,EURO6
1399,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S SHINE BVM6,29360,78,2023,24/03/2023,non requis,14 420 Km,Diesel,mécanique,Gris,5,5,24 mois,,SPOTICAR,oui,1,6 CV,110 ch,2,122 g/kmC,4.6 l/100km,EURO6
1400,CITROEN C5 AIRCROSS,1.6 HYBRID 225 SHINE E-EAT8,36020,92,2022,11/06/2022,non requis,42 520 Km,Hybride essence électrique,automatique,gris,5,5,12 mois,en cours,,oui,,10 CV,181 ch,1,32 g/kmA,1.4 l/100km,EURO6
1401,CITROEN C4 CACTUS,(2) 1.2 PURETECH 110 S&S ORIGINS EAT6,20680,92,2020,15/03/2020,non requis,30 222 Km,Essence,automatique,blanc,5,5,12 mois,,,oui,,6 CV,110 ch,1,114 g/kmB,5.1 l/100km,EURO6
1402,CITROEN BERLINGO 3 VAN,III (2) VAN 1.5 M 650 BLUEHDI 130 S&S DRIVER EAT8,21790,14,2021,06/10/2021,non requis,83 368 Km,Diesel,automatique,blanc,5,3,6 mois,,,oui,1,5 CV,131 ch,2,114 g/kmB,,EURO6
1403,CITROEN JUMPER 2,II (2) 35 L2H2 BLUEHDI 130 S&S BUSINESS BV6,22790,14,2020,31/07/2020,non requis,142 193 Km,Diesel,mécanique,bleu,4,3,6 mois,,,oui,1,7 CV,131 ch,2,159 g/kmD,5.7 l/100km,EURO6
1404,CITROEN BERLINGO 2,II (3) 1.6 BLUEHDI 100 CONFORT M 3PL,15250,16,2019,30/08/2019,non requis,38 635 Km,Diesel,mécanique,BLANC,5,3,3 mois,,,non,2,5 CV,99 ch,2,110 g/kmB,3.9 l/100km,EURO6
1405,CITROEN BERLINGO 3,III TAILLE M 650KG BLUEHDI 75 CLUB,14970,14,2019,22/01/2020,non requis,113 947 Km,Diesel,mécanique,blanc,5,3,6 mois,,,oui,1,5 CV,75 ch,2,112 g/kmB,3.8 l/100km,EURO6
1406,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S FEEL BV6,29480,13,2021,25/04/2021,non requis,52 443 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,137 g/kmC,5.2 l/100km,EURO6
1407,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S SHINE EAT6,21160,13,2019,16/11/2019,non requis,50 664 Km,Essence,automatique,blanc,5,5,12 mois,,SPOTICAR,non,2,6 CV,110 ch,1,114 g/kmB,5.7 l/100km,EURO6
1408,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S SHINE BV6,26820,21,2023,03/11/2023,non requis,34 188 Km,Diesel,mécanique,Rouge,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,2,122 g/kmC,4.6 l/100km,EURO6
1409,CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S FEEL,11420,21,2018,07/10/2018,requis,122 999 Km,Diesel,mécanique,Rouge,5,5,8 mois,,SPOTICAR,non,3,5 CV,99 ch,2,95 g/kmA,3.2 l/100km,EURO6
1410,CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.5 BLUEHDI 130 S&S SHINE BV6,29400,63,2021,21/03/2021,non requis,47 631 Km,Diesel,mécanique,SABLE,5,5,6 mois,,,non,,7 CV,130 ch,2,144 g/kmD,5.5 l/100km,EURO6
1411,CITROEN C4 PICASSO 2,II (2) 1.6 BLUEHDI 120 S&S FEEL BV6,20760,81,2018,27/04/2018,requis,44 660 Km,Diesel,mécanique,Blanc Banquise (O),5,5,12 mois,,SPOTICAR,non,,6 CV,120 ch,2,100 g/kmA,3.8 l/100km,EURO6
1412,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 110 S&S FEEL PACK BUSINESS BV6,23180,81,2023,12/03/2023,non requis,19 025 Km,Essence,mécanique,Gris Platinium (M),5,5,12 mois,,SPOTICAR,oui,,6 CV,110 ch,1,131 g/kmC,5.8 l/100km,EURO6
1413,CITROEN C4 PICASSO 2,II 1.6 E-HDI 115 INTENSIVE ETG6,16470,25,2014,27/05/2014,requis,45 198 Km,Diesel,automatique,Blanc,5,5,8 mois,,SPOTICAR,non,2,6 CV,116 ch,2,104 g/kmB,3.7 l/100km,EURO5
1414,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE PACK,41760,78,2023,15/06/2023,non requis,11 461 Km,Diesel,automatique,Sable (nacré),5,7,24 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
1415,CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S FEEL,14970,25,2020,11/02/2020,non requis,81 903 Km,Diesel,mécanique,Blanc,5,5,12 mois,,SPOTICAR,non,1,5 CV,102 ch,2,95 g/kmA,3.7 l/100km,EURO6
1416,CITROEN JUMPY 3 FOURGON,III TAILLE XL BLUEHDI 145 S&S BVM6 CAF DRIVER,39200,76,2023,10/05/2023,non requis,28 Km,Diesel,mécanique,gris metal,4,6,12 mois,,,oui,1,7 CV,144 ch,2,196 g/kmE,7.4 l/100km,EURO6
