,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1338,MERCEDES CLASSE A 4,IV 200 D AMG LINE 8G-DCT,40220,83,2022,10/04/2022,non requis,17 311 Km,Diesel,automatique,Noir cosmos métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,8 CV,150 ch,2,130 g/kmC,5 l/100km,EURO6
1339,MERCEDES CLASSE E 5,V (2) 220 D AVANTGARDE LINE 9G-TRONIC,68380,06,2023,09/06/2023,non requis,11 514 Km,Diesel,automatique,noir,4,5,24 mois,,Mercedes-Benz Certified,oui,1,11 CV,200 ch,2,128 g/kmC,5.2 l/100km,EURO6
1340,MERCEDES GLA 2,II 250 E PROGRESSIVE LINE 8G-DCT,49830,13,2022,06/07/2022,non requis,26 850 Km,Hybride essence électrique,automatique,2787 Gris Montagne métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,160 ch,1,29 g/kmA,,EURO6
1341,MERCEDES CLASSE A 4,IV 200 AMG LINE 7G-DCT,36270,84,2019,12/06/2019,non requis,44 309 Km,Essence,automatique,blanc,5,5,6 mois,,,oui,1,8 CV,163 ch,1,119 g/kmB,5.2 l/100km,EURO6
1342,MERCEDES GLA 2,II 250 E PROGRESSIVE LINE 8G-DCT,56620,67,2022,26/04/2022,non requis,30 009 Km,Hybride essence électrique,automatique,NOIR COSMOS,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,160 ch,1,29 g/kmA,,EURO6
1343,MERCEDES VITO 3,III 116 CDI EXTRA LONG SELECT,46420,77,2020,18/04/2020,non requis,68 230 Km,Diesel,mécanique,Gris Graphite Spéciale,4,3,12 mois,,,non,,6 CV,163 ch,2,169 g/kmE,6.4 l/100km,EURO6
1344,MERCEDES CLASSE C COUPE SPORT,COUPE SPORT 180 K INDIANAPOLIS BVA,10750,78,2004,08/08/2004,requis,120 395 Km,Essence,automatique,bleu foncé,3,4,,,,non,2,9 CV,143 ch,2,202 g/kmF,6.2 l/100km,EURO4
1345,MERCEDES GLA 2,II 200 AMG LINE 7G-DCT,57900,67,2022,11/01/2023,non requis,12 238 Km,Essence,automatique,gris,5,5,24 mois,,Mercedes-Benz Certified,non,,9 CV,163 ch,1,148 g/kmD,6.5 l/100km,EURO6
1346,MERCEDES CLASSE X,250D 4MATIC POWER BVA7,44620,55,2019,18/06/2019,non requis,117 672 Km,Diesel,automatique,INCONNU,4,5,6 mois,,,non,2,8 CV,190 ch,2,207 g/kmF,6.9 l/100km,EURO6
1347,MERCEDES GLA 2,II 220 D AMG LINE 4MATIC DCT,57670,77,2021,30/12/2021,non requis,65 641 Km,Diesel,automatique,blanc,5,5,24 mois,,,oui,1,10 CV,190 ch,2,157 g/kmD,5.7 l/100km,EURO6
1348,MERCEDES CLASSE E 5 COUPE,V COUPE 220 D SPORTLINE 9G-TRONIC,43490,26,2018,10/01/2019,non requis,63 981 Km,Diesel,automatique,Argent Iridium,2,4,24 mois,,Mercedes-Benz Certified,non,,10 CV,194 ch,2,119 g/kmB,4.6 l/100km,EURO6
1349,MERCEDES CLASSE E 4 COUPE,IV COUPE 220 CDI BLUEEFFICIENCY EXECUTIVE 7G-TRONIC PLUS,21330,60,2011,11/01/2012,requis,121 597 Km,Diesel,automatique,blanc,2,4,6 mois,,,non,,10 CV,170 ch,3,158 g/kmD,4.7 l/100km,EURO4
1350,MERCEDES GLC COUPE,(2) 300 AMG LINE 4MATIC,71380,57,2021,04/01/2022,non requis,18 170 Km,Hybride essence électrique,automatique,bleu,5,5,24 mois,en cours,,oui,1,16 CV,258 ch,1,,,EURO6
1351,MERCEDES CLASSE A 4,IV 200 AMG LINE 7G-DCT,37160,78,2019,18/02/2019,non requis,43 290 Km,Essence,automatique,blanc,5,5,6 mois,,,non,2,8 CV,163 ch,1,119 g/kmB,5.2 l/100km,EURO6
1352,MERCEDES GLE,250 D 4MATIC SPORTLINE,51460,47,2019,13/01/2020,non requis,105 788 Km,Diesel,automatique,Vert amg green hell,5,5,24 mois,,Mercedes-Benz Certified,non,,12 CV,204 ch,2,156 g/kmD,5.9 l/100km,EURO6
1353,MERCEDES GLE COUPE,350 D SPORTLINE 4MATIC,77950,13,2019,04/04/2019,non requis,39 083 Km,Diesel,automatique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,non,,17 CV,258 ch,2,202 g/kmF,7.7 l/100km,EURO6
1354,MERCEDES CLASSE E 5,V (2) 220 D AVANTGARDE LINE 9G-TRONIC,68380,06,2023,09/06/2023,non requis,11 514 Km,Diesel,automatique,noir,4,5,24 mois,,Mercedes-Benz Certified,oui,1,11 CV,200 ch,2,128 g/kmC,5.2 l/100km,EURO6
1355,MERCEDES GLA 2,II 250 E PROGRESSIVE LINE 8G-DCT,49830,13,2022,06/07/2022,non requis,26 850 Km,Hybride essence électrique,automatique,2787 Gris Montagne métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,160 ch,1,29 g/kmA,,EURO6
1356,MERCEDES GLC COUPE,(2) 300 E 4MATIC AMG LINE 9G-TRONIC,64090,57,2021,12/08/2021,non requis,37 450 Km,Hybride essence électrique,automatique,Noir,5,5,12 mois,,,oui,,10 CV,211 ch,1,48 g/kmA,,EURO6
1357,MERCEDES GLC COUPE,(2) 300 E 4MATIC AMG LINE 9G-TRONIC,64090,57,2021,12/08/2021,non requis,37 450 Km,Hybride essence électrique,automatique,Noir,5,5,12 mois,,,oui,,10 CV,211 ch,1,48 g/kmA,,EURO6
1358,MERCEDES CLASSE E 5 COUPE,V COUPE 220 D SPORTLINE 9G-TRONIC,43490,26,2018,10/01/2019,non requis,63 981 Km,Diesel,automatique,Argent Iridium,2,4,24 mois,,Mercedes-Benz Certified,non,,10 CV,194 ch,2,119 g/kmB,4.6 l/100km,EURO6
1359,MERCEDES CLASSE E 4 COUPE,IV COUPE 220 CDI BLUEEFFICIENCY EXECUTIVE 7G-TRONIC PLUS,21330,60,2011,11/01/2012,requis,121 597 Km,Diesel,automatique,blanc,2,4,6 mois,,,non,,10 CV,170 ch,3,158 g/kmD,4.7 l/100km,EURO4
1360,MERCEDES GLC COUPE,(2) 300 AMG LINE 4MATIC,71380,57,2021,04/01/2022,non requis,18 170 Km,Hybride essence électrique,automatique,bleu,5,5,24 mois,en cours,,oui,1,16 CV,258 ch,1,,,EURO6
1361,MERCEDES CLASSE A 4,IV 200 AMG LINE 7G-DCT,37160,78,2019,18/02/2019,non requis,43 290 Km,Essence,automatique,blanc,5,5,6 mois,,,non,2,8 CV,163 ch,1,119 g/kmB,5.2 l/100km,EURO6
1362,MERCEDES GLE,250 D 4MATIC SPORTLINE,51460,47,2019,13/01/2020,non requis,105 788 Km,Diesel,automatique,Vert amg green hell,5,5,24 mois,,Mercedes-Benz Certified,non,,12 CV,204 ch,2,156 g/kmD,5.9 l/100km,EURO6
1363,MERCEDES GLE COUPE,350 D SPORTLINE 4MATIC,77950,13,2019,04/04/2019,non requis,39 083 Km,Diesel,automatique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,non,,17 CV,258 ch,2,202 g/kmF,7.7 l/100km,EURO6
1364,MERCEDES CLASSE C 4 SW AMG,IV SW 43 AMG 4MATIC,38060,38,2017,18/11/2017,requis,174 720 Km,Essence,automatique,noir metal,5,5,6 mois,,,non,5,25 CV,367 ch,1,185 g/kmE,6.5 l/100km,EURO6
1365,MERCEDES CLASSE A 4,IV 180 D AMG LINE 8G-DCT,40120,01,2022,29/01/2023,non requis,48 534 Km,Diesel,automatique,Gris,5,5,24 mois,en cours,Mercedes-Benz Certified,oui,1,6 CV,116 ch,2,134 g/kmC,,EURO6
1366,MERCEDES GLC COUPE,(2) 220 D 4MATIC AMG LINE 9G-TRONIC,63200,51,2021,12/04/2021,non requis,77 852 Km,Diesel,automatique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,non,,11 CV,194 ch,2,152 g/kmD,5.8 l/100km,EURO6
1367,MERCEDES SPRINTER 2,II (2) 214 CDI 37S BVA5,42240,21,2020,07/06/2020,non requis,44 893 Km,Diesel,automatique,blanc arctique,4,3,24 mois,,Mercedes Millétoile,oui,1,7 CV,143 ch,2,207 g/kmF,8.1 l/100km,EURO6
1368,MERCEDES GLC,350 D EXECUTIVE 4MATIC BVA9,54500,73,2019,09/04/2019,non requis,58 522 Km,Diesel,automatique,brun,5,5,12 mois,,,non,,16 CV,258 ch,2,176 g/kmE,6.7 l/100km,EURO6
1369,MERCEDES CLASSE A 3,III 200 SENSATION 7G-DCT,23630,84,2015,29/06/2015,requis,79 238 Km,Essence,automatique,blanc,5,5,12 mois,,,non,2,8 CV,156 ch,1,131 g/kmC,4.7 l/100km,EURO6
1370,MERCEDES CLASSE B 3,III 180 BUSINESS LINE,31220,08,2020,04/11/2020,non requis,36 825 Km,Essence,mécanique,Gris Foncé Métal,5,5,12 mois,,SPOTICAR,non,,8 CV,136 ch,1,123 g/kmC,5.6 l/100km,EURO6
1371,MERCEDES CLASSE C 5 SW,V SW 200 MHEV AMG LINE BVA9,63010,35,2022,10/06/2022,non requis,14 424 Km,Essence,automatique,Noir obsidienne métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,11 CV,204 ch,1,,,EURO6
1372,MERCEDES GLC,(2) 300 D AMG LINE 4MATIC,65290,64,2020,02/03/2020,non requis,16 028 Km,Diesel,automatique,Noir,5,5,24 mois,,Mercedes-Benz Certified,oui,,14 CV,245 ch,2,153 g/kmD,7.3 l/100km,EURO6
1373,MERCEDES GLC,(2) 220 D AVANTGARDE LINE LAUNCH EDITION 4MATIC,47080,30,2020,31/01/2021,non requis,60 574 Km,Diesel,automatique,Gris graphite métallisé,5,5,12 mois,,,oui,,11 CV,194 ch,2,135 g/kmC,5.6 l/100km,EURO6
1374,MERCEDES CLASSE C 4 SW,IV SW 200 D 2.2 BUSINESS EXECUTIVE 9G-TRONIC,33460,26,2018,13/05/2018,requis,59 097 Km,Diesel,automatique,noir,5,5,12 mois,,,non,,7 CV,136 ch,2,114 g/kmB,4.4 l/100km,EURO6
1375,MERCEDES GLC 2,II 200 D AMG LINE 4MATIC 9G-TRONIC,68950,06,2023,12/08/2023,non requis,8 068 Km,Diesel,automatique,gris,5,5,,,,non,,11 CV,197 ch,2,136 g/kmC,5.2 l/100km,EURO6
1376,MERCEDES GLC 2,II 200 D AMG LINE 4MATIC 9G-TRONIC,57730,06,2023,12/09/2023,non requis,12 807 Km,Diesel,automatique,gris,5,5,,,,non,,11 CV,197 ch,2,136 g/kmC,5.2 l/100km,EURO6
