,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
70,MERCEDES CLA SHOOTING BRAKE,(2) SHOOTING BRAKE 180 D FASCINATION 7G-DCT,26290,44,2018,07/09/2018,requis,107 968 Km,Diesel,automatique,Noir Cosmos,5,5,12 mois,,,non,,5 CV,109 ch,2,110 g/kmB,4.2 l/100km,EURO6
71,MERCEDES CLASSE C 4 SW,IV SW 200 D 2.2 BUSINESS EXECUTIVE 9G-TRONIC,29480,26,2018,10/11/2018,requis,56 238 Km,Diesel,automatique,noir,5,5,12 mois,,,non,,7 CV,136 ch,2,114 g/kmB,4.4 l/100km,EURO6
72,MERCEDES CLASSE C 3,III (2) 250 CDI BLUEEFFICIENCY AVANTGARDE EXECUTIVE 7G-TRONIC,16870,29,2012,27/10/2012,requis,184 625 Km,Diesel,automatique,BLEU,4,5,6 mois,,,non,,11 CV,204 ch,2,131 g/kmC,5 l/100km,EURO5
73,MERCEDES CLASSE A 4,IV 180 D AMG LINE 7G-DCT 100G,38060,17,2021,25/09/2021,non requis,42 939 Km,Diesel,automatique,Gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,116 ch,2,120 g/kmB,,EURO6
74,MERCEDES CLA 2,II 220 D 10CV AMG LINE 8G-DCT,49030,76,2022,15/12/2022,non requis,25 189 Km,Diesel,automatique,gris,4,5,12 mois,en cours,SPOTICAR,oui,1,10 CV,190 ch,2,129 g/kmC,5 l/100km,EURO6
75,MERCEDES CLASSE A 4,IV 220 D AMG LINE 8G-DCT,36610,77,2020,22/05/2020,non requis,38 180 Km,Diesel,automatique,gris,5,5,12 mois,,,non,2,10 CV,190 ch,2,104 g/kmB,4.3 l/100km,EURO6
76,MERCEDES CLASSE A 4,IV 200 AMG LINE 7G-DCT,34960,94,2019,05/11/2019,non requis,38 372 Km,Essence,automatique,gris,5,5,12 mois,,,oui,1,8 CV,163 ch,1,119 g/kmB,5.2 l/100km,EURO6
77,MERCEDES CLA,(2) 200 SENSATION 7G-DCT,28230,34,2018,25/11/2018,requis,67 729 Km,Essence,automatique,rouge,4,5,6 mois,,,non,2,8 CV,156 ch,1,124 g/kmC,4.5 l/100km,EURO6
78,MERCEDES GLC AMG,AMG 43 4MATIC,57500,34,2019,07/11/2019,non requis,101 854 Km,Essence,automatique,gris foncé,5,5,6 mois,,,non,3,26 CV,367 ch,1,199 g/kmE,7.3 l/100km,EURO6
79,MERCEDES CLASSE C 4 SW,IV SW 220 BLUETEC EXECUTIVE 7G-TRONIC,18130,85,2015,19/03/2015,requis,158 400 Km,Diesel,automatique,Gris Foncé Métal,5,5,3 mois,,,non,,9 CV,170 ch,2,114 g/kmB,4.5 l/100km,EURO5
