,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
41,PEUGEOT E-208 (2E GENERATION),II ELECTRIQUE ALLURE PACK,31520,59,2022,02/05/2022,non requis,45 711 Km,Electrique,automatique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,4 CV,78 ch,0,0 g/kmA,,EURO6
42,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S EAT8 ACTIVE PACK,25280,69,2022,09/02/2022,non requis,20 249 Km,Essence,automatique,jaune,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,121 g/kmC,5.4 l/100km,EURO6
43,PEUGEOT 508 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S GT EAT8,45240,59,2023,09/10/2023,non requis,105 Km,Diesel,automatique,noir,5,5,12 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,121 g/kmC,4.6 l/100km,EURO6
44,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV ALLURE EAT8,29020,33,2021,18/06/2021,non requis,155 871 Km,Diesel,automatique,blanc,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,135 g/kmC,5.1 l/100km,EURO6
45,PEUGEOT 208,(2) 1.2 PURETECH 110 S&S GT LINE EAT6 5P,16990,33,2016,15/04/2016,requis,75 209 Km,Essence,automatique,blanc,5,5,8 mois,,,non,1,5 CV,110 ch,1,104 g/kmB,3.8 l/100km,EURO6
46,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 130 S&S 7CV ALLURE,30120,49,2022,27/03/2022,non requis,22 140 Km,Diesel,mécanique,gris clair,5,5,12 mois,en cours,,non,,7 CV,130 ch,2,122 g/kmC,4.6 l/100km,EURO6
47,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S STYLE BVM6,23500,59,2023,06/12/2023,non requis,112 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,101 ch,1,115 g/kmB,5.1 l/100km,EURO6
48,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE PACK MY21,29880,59,2023,27/04/2023,non requis,11 924 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,125 g/kmC,5.5 l/100km,EURO6
49,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 100 ALLURE BV6,27730,24,2021,25/02/2021,non requis,40 382 Km,Diesel,mécanique,BLEU VERTIGO,5,5,12 mois,,,non,,5 CV,100 ch,2,119 g/kmB,4.5 l/100km,EURO6
50,PEUGEOT EXPERT 3 FOURGON,III 2.0 BLUEHDI 150 S&S COMPACT PREMIUM PACK,28780,35,2019,11/04/2019,non requis,98 792 Km,Diesel,mécanique,blanc,4,3,12 mois,,,oui,1,7 CV,150 ch,2,139 g/kmC,4.9 l/100km,EURO6
51,PEUGEOT 3008 (2E GENERATION),II (2) 1.6 HYBRID4 300 GT E-EAT8,56990,72,2021,23/04/2021,non requis,1 363 Km,Hybride essence électrique,automatique,blanc,5,5,24 mois,,,oui,1,9 CV,200 ch,1,31 g/kmA,1.3 l/100km,EURO6
52,PEUGEOT 5008 (2E GENERATION),II 1.6 BLUEHDI 120 S&S ALLURE EAT6,32400,33,2019,30/04/2019,non requis,85 115 Km,Diesel,automatique,bleu,5,7,12 mois,,,non,2,6 CV,120 ch,2,112 g/kmB,4 l/100km,EURO6
53,PEUGEOT 508 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS,23580,35,2020,17/11/2020,non requis,130 450 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,101 g/kmB,3.8 l/100km,EURO6
54,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S 7CV GT LINE EAT8,29980,76,2021,26/03/2021,non requis,15 772 Km,Essence,automatique,rouge,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,128 g/kmC,5.7 l/100km,EURO6
55,PEUGEOT RIFTER,1.5 BLUEHDI 100 ALLURE,27350,76,2020,12/10/2020,non requis,48 000 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,112 g/kmB,4.3 l/100km,EURO6
56,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,24590,92,2022,25/08/2022,non requis,7 376 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,101 ch,1,118 g/kmB,5.3 l/100km,EURO6
57,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV ALLURE,33810,33,2021,08/01/2022,non requis,21 976 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,100 g/kmA,4 l/100km,EURO6
58,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.2 PURETECH 130 S&S ALLURE,22300,78,2019,14/01/2020,non requis,65 853 Km,Essence,mécanique,bleu,5,5,12 mois,,,non,2,7 CV,131 ch,1,115 g/kmB,4.6 l/100km,EURO6
59,PEUGEOT E-208 (2E GENERATION),II ELECTRIQUE ALLURE,28780,33,2021,05/07/2021,non requis,32 368 Km,Electrique,automatique,jaune,5,5,12 mois,,SPOTICAR,oui,1,4 CV,78 ch,0,0 g/kmA,,EURO6
60,PEUGEOT 5008 (2E GENERATION),II 2.0 BLUEHDI 180 S&S GT LINE EAT8,28490,35,2021,22/10/2021,non requis,148 548 Km,Diesel,automatique,noir,5,7,12 mois,,SPOTICAR,oui,1,9 CV,177 ch,2,165 g/kmE,6.3 l/100km,EURO6
61,PEUGEOT 508 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK EAT8,30400,35,2022,30/04/2022,non requis,34 945 Km,Diesel,automatique,noir,5,5,12 mois,en cours,SPOTICAR,oui,1,7 CV,131 ch,2,120 g/kmB,4.6 l/100km,EURO6
62,PEUGEOT 2008,(2) 1.5 BLUEHDI 100 S&S SIGNATURE,18350,76,2020,13/04/2020,non requis,34 598 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,86 g/kmA,3.5 l/100km,EURO6
63,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,22670,80,2021,18/03/2021,non requis,30 759 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,101 ch,1,124 g/kmC,5.5 l/100km,EURO6
64,PEUGEOT TRAVELLER,2.0 BLUEHDI 180 S&S STANDARD ALLURE EAT6,52300,24,2018,03/09/2018,requis,42 647 Km,Diesel,automatique,GRIS FONCE,4,8,12 mois,,,oui,1,10 CV,177 ch,2,151 g/kmD,5.4 l/100km,EURO6
65,PEUGEOT 3008 (2E GENERATION),II (2) 1.6 HYBRID4 300 GT E-EAT8 2020,49360,94,2022,24/08/2022,non requis,3 138 Km,Hybride essence électrique,automatique,rouge,5,5,12 mois,,SPOTICAR,non,2,11 CV,200 ch,1,31 g/kmA,,EURO6
66,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT EAT8,31690,42,2023,14/07/2023,non requis,1 Km,Essence,automatique,bleu,5,5,,,,oui,,5 CV,100 ch,1,123 g/kmC,5.4 l/100km,EURO6
67,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 100 S&S STYLE,26980,94,2022,11/03/2022,non requis,14 795 Km,Essence,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,5 CV,101 ch,1,123 g/kmC,5.4 l/100km,EURO6
68,PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S 7CV GT EAT8,43300,84,2022,18/10/2022,non requis,3 933 Km,Diesel,automatique,gris nacre,5,5,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,2,136 g/kmC,5.2 l/100km,EURO6
69,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S 7CV ALLURE EAT8,34490,94,2023,17/04/2023,non requis,3 633 Km,Essence,automatique,noir,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,134 g/kmC,5.9 l/100km,EURO6
70,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE PACK EAT8 2022,35380,33,2023,31/01/2024,non requis,177 Km,Essence,automatique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,7 CV,131 ch,1,134 g/kmC,6 l/100km,EURO6
