,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1364,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,21580,78,2021,01/08/2021,non requis,60 668 Km,Essence,mécanique,Gris,5,5,,,,oui,1,5 CV,101 ch,1,124 g/kmC,5.5 l/100km,EURO6
1365,PEUGEOT 2008,(2) 1.2 PURETECH 110 S&S CROSSWAY EAT6,16930,73,2018,18/07/2018,requis,91 722 Km,Essence,automatique,Gris clair,5,5,6 mois,,,non,2,6 CV,110 ch,1,110 g/kmB,4.1 l/100km,EURO6
1366,PEUGEOT 208,(2) 1.2 PURETECH 82 SIGNATURE 5P,14430,73,2020,21/03/2020,non requis,27 001 Km,Essence,mécanique,Rouge clair,5,5,12 mois,,,oui,1,4 CV,83 ch,1,108 g/kmB,4.4 l/100km,EURO6
1367,PEUGEOT 5008 (2E GENERATION),1.5 BLUEHDI 130CH E6C ALLURE S&S EAT8,28830,54,2020,09/07/2020,non requis,74 985 Km,Diesel,automatique,Emerald Crystal (M),5,,12 mois,,,non,,6 CV,130 ch,,,,
1368,PEUGEOT 208 (2E GENERATION),1.2 PURETECH 100CH S&S ALLURE 118G,23570,54,2022,13/08/2022,non requis,34 432 Km,Essence,mécanique,Jaune,5,,12 mois,,,non,,5 CV,102 ch,,121 g/kmC,,
1369,PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S STYLE EAT8,16470,54,2019,04/11/2019,non requis,114 842 Km,Diesel,automatique,Gris,5,5,6 mois,,,oui,1,6 CV,131 ch,2,93 g/kmA,3.6 l/100km,EURO6
1370,PEUGEOT 208,(2) 1.2 PURETECH 82 STYLE 5P,11280,54,2018,17/04/2018,requis,111 812 Km,Essence,mécanique,Gris,5,5,6 mois,,,oui,1,4 CV,82 ch,1,104 g/kmB,3.9 l/100km,EURO6
1371,PEUGEOT 3008,(2) 1.6 HDI 115 FAP FELINE BVM6,17390,13,2016,02/10/2016,requis,90 090 Km,Diesel,mécanique,Blanc nacré,5,5,8 mois,,SPOTICAR,non,3,6 CV,114 ch,2,127 g/kmC,4.4 l/100km,EURO5
1372,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT EAT8,23740,13,2022,24/02/2022,non requis,50 439 Km,Essence,automatique,Noir,5,5,12 mois,en cours,,oui,1,5 CV,101 ch,1,125 g/kmC,5.4 l/100km,EURO6
1373,PEUGEOT 108,1.0 VTI 68 ACTIVE 5P,9420,13,2017,23/11/2017,requis,79 172 Km,Essence,mécanique,Gris,5,4,6 mois,,,oui,1,4 CV,69 ch,1,95 g/kmA,3.6 l/100km,EURO6
1374,PEUGEOT 108,1.0 VTI 68 ACTIVE 5P,9420,13,2017,23/11/2017,requis,79 172 Km,Essence,mécanique,Gris,5,4,6 mois,,,oui,1,4 CV,69 ch,1,95 g/kmA,3.6 l/100km,EURO6
1375,PEUGEOT ION,ELECTRIQUE,12300,69,2019,21/11/2019,non requis,14 392 Km,Electrique,automatique,P. opaque blanc Antarctique,5,4,12 mois,,Occasions du Lion PREMIUM,oui,1,1 CV,48 ch,0,0 g/kmA,,EURO6
1376,PEUGEOT EXPERT 3 FOURGON,III 2.0 BLUEHDI 120 S&S LONG PREMIUM PACK,24940,74,2018,17/03/2018,requis,108 035 Km,Diesel,mécanique,gris,4,3,8 mois,,SPOTICAR,non,2,7 CV,122 ch,2,139 g/kmC,4.9 l/100km,EURO6
1377,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT,26770,31,2023,10/08/2023,non requis,11 462 Km,Essence,mécanique,Rouge Elixir,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,118 g/kmB,5.3 l/100km,EURO6
1378,PEUGEOT E-208 (2E GENERATION),II ELECTRIQUE GT LINE,27590,74,2021,12/04/2021,non requis,33 245 Km,Electrique,automatique,bleu,5,5,12 mois,,SPOTICAR,oui,1,4 CV,78 ch,0,0 g/kmA,,EURO6
1379,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE E6,22390,78,2019,21/05/2019,non requis,102 153 Km,Essence,mécanique,bleu,5,5,12 mois,,,non,,7 CV,130 ch,1,118 g/kmB,5.1 l/100km,EURO6
1380,PEUGEOT 208 (2E GENERATION),1.2 PURETECH 100CH S&S GT EAT8,29020,63,2022,15/11/2022,non requis,33 855 Km,Essence,automatique,Noir Perla Nera,5,,12 mois,,SPOTICAR,non,,5 CV,102 ch,,123 g/kmC,,
1381,PEUGEOT 208 (2E GENERATION),1.2 PURETECH 100CH S&S GT EAT8,29980,63,2022,11/07/2022,non requis,35 976 Km,Essence,automatique,Gris Platinium,5,,12 mois,,SPOTICAR,non,,5 CV,102 ch,,123 g/kmC,,
1382,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE BUSINESS EAT8,27040,67,2020,19/01/2021,non requis,74 456 Km,Essence,automatique,Gris Artense (M),5,5,12 mois,,Das WeltAuto. Performance,oui,,7 CV,130 ch,1,115 g/kmB,5.1 l/100km,EURO6
1383,PEUGEOT 3008 (2E GENERATION),II (2) 1.6 HYBRID 225 ALLURE E-EAT8,39580,02,2022,01/11/2022,non requis,40 497 Km,Hybride essence électrique,automatique,Gris,5,5,,en cours,,non,1,10 CV,181 ch,1,31 g/kmA,1.3 l/100km,EURO6
1384,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S GT PACK EAT8,35320,06,2023,02/01/2024,non requis,6 Km,Essence,automatique,Artense Grey,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,135 g/kmC,5.9 l/100km,EURO6
1385,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S ACTIVE BUSINESS EAT6,23040,78,2019,04/11/2019,non requis,122 244 Km,Essence,automatique,bleu,5,5,6 mois,,,oui,1,7 CV,131 ch,1,120 g/kmB,4.7 l/100km,EURO6
1386,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S STYLE,23170,63,2023,16/07/2023,non requis,6 100 Km,Essence,mécanique,Blanc Banquise,5,5,24 mois,,SPOTICAR,oui,1,4 CV,75 ch,1,120 g/kmB,5.3 l/100km,EURO6
1387,PEUGEOT 5008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S GT EAT8,45980,60,2023,17/12/2023,non requis,9 868 Km,Diesel,automatique,Bleu Célèbes (M),5,7,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,139 g/kmC,5.3 l/100km,EURO6
1388,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,20590,92,2020,16/09/2020,non requis,111 596 Km,Diesel,automatique,gris,5,5,6 mois,,,oui,1,6 CV,131 ch,2,102 g/kmB,4 l/100km,EURO6
1389,PEUGEOT 508 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE PACK EAT8,37680,78,2023,20/01/2024,non requis,4 331 Km,Essence,automatique,GRIS PLATINIUM METAL,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,131 g/kmC,5.8 l/100km,EURO6
1390,PEUGEOT 3008,(2) 2.0 HDI 163 FAP FELINE BVA6,17340,30,2015,13/01/2016,requis,142 182 Km,Diesel,automatique,bleu,5,5,,,,non,3,9 CV,163 ch,2,159 g/kmD,5 l/100km,EURO5
